SampleName  R1  R2
FX003-016-16S-V4_S58  FX003-016-16S-V4_S58_L001_R1_001.fastq.gz FX003-016-16S-V4_S58_L001_R2_001.fastq.gz
FX003-017-16S-V4_S59  FX003-017-16S-V4_S59_L001_R1_001.fastq.gz FX003-017-16S-V4_S59_L001_R2_001.fastq.gz
FX003-018-16S-V4_S60  FX003-018-16S-V4_S60_L001_R1_001.fastq.gz FX003-018-16S-V4_S60_L001_R2_001.fastq.gz
